iter	Passed	Remaining
400	23841	95069
401	23901	95012
402	23956	94932
403	24020	94894
404	24078	94827
405	24138	94769
406	24197	94707
407	24264	94677
408	24325	94625
409	24385	94567
410	24444	94507
411	24506	94456
412	24570	94415
413	24629	94353
414	24688	94291
415	24745	94224
416	24798	94140
417	24846	94036
418	24897	93946
419	24954	93877
420	25009	93799
421	25071	93750
422	25126	93675
423	25188	93625
424	25246	93559
425	25303	93490
426	25361	93426
427	25417	93355
428	25474	93286
429	25534	93228
430	25591	93164
431	25649	93098
432	25708	93038
433	25769	92983
434	25829	92927
435	25884	92852
436	25938	92773
437	25996	92708
438	26051	92635
439	26108	92567
440	26171	92520
441	26230	92461
442	26287	92391
443	26343	92320
444	26400	92252
445	26456	92182
446	26510	92105
447	26565	92030
448	26619	91951
449	26672	91871
450	26727	91799
451	26781	91720
452	26836	91648
453	26895	91588
454	26959	91545
455	27015	91473
456	27070	91399
457	27130	91342
458	27183	91263
459	27239	91193
460	27294	91120
461	27349	91046
462	27406	90979
463	27465	90921
464	27522	90855
465	27575	90774
466	27634	90713
467	27693	90655
468	27749	90586
469	27804	90512
470	27859	90439
471	27921	90390
472	27980	90329
473	28034	90254
474	28088	90177
475	28145	90113
476	28203	90051
477	28261	89986
478	28320	89926
479	28377	89861
480	28437	89805
481	28489	89723
482	28544	89652
483	28603	89592
484	28659	89525
485	28720	89471
486	28779	89411
487	28837	89347
488	28895	89287
489	28949	89210
490	29003	89138
491	29065	89085
492	29128	89040
493	29186	88977
494	29243	88912
495	29304	88857
496	29360	88789
497	29414	88714
498	29473	88657
499	29533	88601
500	29595	88549
501	29652	88484
502	29707	88414
503	29766	88354
504	29822	88287
505	29878	88217
506	29933	88146
507	29987	88072
508	30043	88006
509	30101	87942
510	30155	87869
511	30208	87794
512	30267	87733
513	30328	87680
514	30385	87617
515	30443	87553
516	30503	87497
517	30561	87435
518	30622	87384
519	30681	87322
520	30736	87255
521	30795	87193
522	30855	87138
523	30913	87076
524	30970	87013
525	31028	86951
526	31090	86900
527	31147	86835
528	31203	86767
529	31261	86705
530	31321	86649
531	31383	86598
532	31443	86544
533	31498	86474
534	31553	86404
535	31607	86330
536	31662	86261
537	31718	86194
538	31776	86132
539	31829	86058
540	31882	85983
541	31939	85918
542	31995	85852
543	32054	85791
544	32109	85722
545	32168	85664
546	32228	85607
547	32291	85560
548	32350	85500
549	32407	85438
550	32464	85373
551	32520	85307
552	32578	85244
553	32629	85166
554	32681	85089
555	32736	85021
556	32796	84963
557	32858	84913
558	32912	84841
559	32970	84782
560	33028	84719
561	33081	84646
562	33137	84579
563	33194	84515
564	33251	84452
565	33304	84380
566	33363	84321
567	33421	84259
568	33475	84189
569	33531	84122
570	33585	84050
571	33640	83983
572	33694	83912
573	33750	83847
574	33808	83787
575	33867	83728
576	33926	83669
577	33982	83604
578	34036	83534
579	34091	83466
580	34144	83391
581	34202	83331
582	34258	83266
583	34316	83206
584	34377	83151
585	34433	83087
586	34493	83031
587	34553	82974
588	34613	82919
589	34673	82864
590	34728	82795
591	34788	82739
592	34846	82678
593	34911	82636
594	34968	82573
595	35026	82511
596	35088	82460
597	35147	82401
598	35207	82347
599	35268	82292
600	35323	82226
601	35383	82168
602	35444	82116
603	35500	82049
604	35557	81988
605	35619	81937
606	35682	81887
607	35741	81828
608	35795	81759
609	35854	81700
610	35914	81644
611	35979	81599
612	36039	81543
613	36101	81492
614	36158	81430
615	36215	81366
616	36271	81302
617	36324	81229
618	36378	81161
619	36437	81102
620	36492	81034
621	36548	80970
622	36602	80902
623	36654	80828
624	36714	80770
625	36771	80709
626	36830	80651
627	36891	80596
628	36947	80533
629	37005	80471
630	37065	80416
631	37122	80354
632	37174	80281
633	37231	80217
634	37285	80148
635	37342	80086
636	37400	80026
637	37452	79952
638	37506	79884
639	37564	79823
640	37618	79756
641	37675	79694
642	37731	79629
643	37786	79562
644	37841	79497
645	37901	79440
646	37961	79384
647	38015	79315
648	38071	79251
649	38126	79185
650	38182	79121
651	38236	79054
652	38293	78991
653	38347	78922
654	38404	78860
655	38466	78808
656	38524	78750
657	38583	78692
658	38644	78637
659	38702	78578
660	38754	78506
661	38807	78435
662	38863	78372
663	38919	78308
664	38980	78254
665	39043	78203
666	39099	78140
667	39147	78059
668	39202	77995
669	39261	77936
670	39319	77877
671	39374	77811
672	39426	77740
673	39484	77679
674	39544	77623
675	39595	77551
676	39650	77485
677	39702	77413
