iter	Passed	Remaining
398	358916	135830
399	360090	135034
400	361541	134338
401	362945	133621
402	364151	132829
403	365120	131949
404	366618	131258
405	367989	130518
406	369754	129913
407	370765	129041
408	371886	128205
409	373167	127423
410	374183	126548
411	375892	125905
412	376977	125050
413	378044	124188
414	379670	123507
415	380994	122724
416	382165	121889
417	383788	121196
418	385084	120396
419	386734	119703
420	388406	119012
421	389422	118118
422	390718	117307
423	392489	116635
424	394074	115904
425	395243	115047
426	396599	114243
427	397681	113357
428	398830	112490
429	400509	111770
430	401641	110893
431	403286	110156
432	404781	109375
433	406330	108604
434	407595	107755
435	408861	106904
436	410094	106042
437	412062	105367
438	413070	104443
439	414130	103532
440	415535	102706
441	417088	101912
442	418289	101031
443	419306	100104
444	420440	99205
445	421709	98335
446	422907	97448
447	424536	96657
448	425737	95767
449	426865	94859
450	428068	93966
451	429773	93181
452	431788	92458
453	432935	91545
454	434032	90622
455	435126	89697
456	436188	88764
457	437519	87885
458	439211	87076
459	440665	86217
460	441666	85267
461	442823	84347
462	444328	83491
463	446402	82738
464	448472	81978
465	449785	81077
466	450874	80134
467	452543	79291
468	454188	78441
469	455388	77512
470	457386	76716
471	458545	75776
472	459725	74839
473	462347	74131
474	464842	73396
475	465986	72443
476	466985	71467
477	468175	70520
478	469512	69593
479	470760	68652
480	472122	67726
481	473303	66773
482	474682	65846
483	476860	65026
484	477979	64059
485	479365	63126
486	480469	62155
487	482871	61348
488	483940	60368
489	484969	59383
490	486558	58466
491	487992	57527
492	489176	56557
493	491557	55723
494	493103	54789
495	494419	53827
496	495749	52866
497	497230	51919
498	498800	50979
499	501058	50105
500	502161	49113
501	504405	48230
502	505411	47225
503	506892	46264
504	508509	45312
505	509575	44310
506	511085	43346
507	512108	42339
508	513336	41349
509	515174	40405
510	516617	39428
511	518083	38451
512	519262	37451
513	520687	36468
514	521886	35467
515	522962	34458
516	524394	33471
517	525703	32475
518	527242	31492
519	528822	30508
520	530083	29505
521	532467	28561
522	534649	27601
523	536173	26604
524	537427	25591
525	538658	24577
526	540760	23600
527	542014	22583
528	543218	21564
529	544741	20556
530	545832	19530
531	547159	18512
532	548601	17497
533	549736	16471
534	551424	15460
535	553543	14458
536	555903	13457
537	557001	12423
538	558132	11390
539	559215	10355
540	560715	9327
541	561787	8292
542	562905	7256
543	564024	6220
544	565000	5183
545	567398	4156
546	568663	3118
547	569890	2079
548	571257	1040
549	572510	0
